'air	1	1	unknown	plissement scléral avec 'air tamponade'	80806006	900000000000548007
'anaplastic	1	1	unknown	LyP (lymphomatoid papulosis) de type C 'anaplastic large-cell lymphoma-like'	404105000	900000000000549004
'babysitting'	1	1	unknown	service de 'babysitting'	312386004	900000000000549004
'background'	1	1	unknown	rétinopathie 'background' due à une altération de la glucorégulation	723169001	900000000000549004
'bed	1	1	unknown	vit dans un 'bed and breakfast'	160744003	900000000000549004
'binge	1	1	unknown	comportement de 'binge eating'	1162387003	900000000000549004
'blast'	1	1	unknown	traumatisme dû au 'blast' d'une explosion nucléaire	243042000	900000000000549004
'blow	2	2	unknown	fracture par 'blow-out' fermée du plancher de l'orbite gauche	16671631000119101	900000000000549004
'bobbing'	1	1	unknown	'bobbing' oculaire inversé	307691008	900000000000548007
'bondage'	1	1	unknown	'bondage'	225528005	900000000000549004
'boomslang'	1	1	unknown	empoisonnement par du venin de 'boomslang'	241810003	900000000000549004
'bounce	1	1	unknown	test méniscal de type 'bounce home'	84472009	900000000000548007
'bowstring'	1	1	unknown	signe de 'bowstring'	246599007	900000000000549004
'brujeria'	1	1	unknown	'brujeria' (maladie s'expliquant par la sorcellerie)	651003	900000000000549004
'brush	1	1	unknown	observation concernant le 'brush test'	366609000	900000000000549004
'bubble'	1	1	unknown	'bubble' gastrique	360117000	900000000000549004
'bullying'	1	1	unknown	'bullying' d'un l'adulte	429690008	900000000000549004
'c	1	1	unknown	syndrome 'C-like'	720565000	900000000000549004
'chewing	1	1	unknown	réaction indésirable à un additif du 'chewing-gum'	713228003	900000000000549004
'chilblain'	1	1	unknown	LEF (lupus érythémateux familial) de type 'chilblain'	1220590003	900000000000549004
'clipping'	1	1	unknown	incision du crâne et 'clipping' d'un anévrisme intracrânien	448187000	900000000000549004
'clunk	1	1	unknown	'clunk syndrome' rotulien	447054004	900000000000549004
'cluster	1	1	unknown	'cluster tic syndrome'	230539002	900000000000549004
'coating'	1	1	unknown	'coating' d'un anévrysme du cerveau	15309003	900000000000549004
'coiling'	1	1	unknown	réparation d'un anévrysme par 'coiling'	360390006	900000000000549004
'coils'	1	1	unknown	réparation d'un anévrisme avec utilisation de 'coils'	360390006	900000000000549004
'comme	1	1	unknown	sensation 'comme si…'	276315009	900000000000548007
'coppock	1	1	unknown	cataracte 'Coppock-like'	1003884001	900000000000549004
'core	2	2	unknown	LMA-CBF - leucémie myéloïde chronique à 'core binding factor'	702446006	900000000000549004
'crash'	1	1	unknown	lésion accidentelle ou intentionnelle due à un 'crash' d'avion	242988000	900000000000549004
'cross	1	1	unknown	'cross-linking' moléculaire	65798002	900000000000549004
'crossing	1	1	unknown	'crossing-over' génétique	35147005	900000000000548007
'cruising'	1	1	unknown	'cruising'	225530007	900000000000549004
'cuff'	1	1	unknown	extrusion du 'cuff' d'un cathéter de dialyse péritonéale	236566007	900000000000549004
'cup	1	1	unknown	reprise d'une PTH (prothèse totale de hanche), selon la technique du 'cup-cage'	1222787003	900000000000549004
'cutback'	1	1	unknown	'cutback' d'un anus couvert	265432003	900000000000549004
'debulking'	2	2	unknown	'debulking' étendu d'un néoplasme de la cavité abdominale	708729004	900000000000549004
'diaphanous	1	1	unknown	syndrome de surdité neurosensorielle et thrombocytopénie associé au gène 'diaphanous related formin 1'	1172604004	900000000000548007
'dipping'	2	2	unknown	'dipping' oculaire	246783003	900000000000548007
'dnaj	1	1	unknown	maladie de Charcot-Marie-Tooth de type 2 associée à 'dnaJ heat shock protein family (Hsp40) member B2'	1187621006	900000000000548007
'double	1	1	unknown	lymphome B 'double-hit' de haut grade MYC/BCL2 et/ou BCL6	1172704005	900000000000549004
'drüsen'	2	2	unknown	'drüsen' maculaires souples	420272005	900000000000548007
'duplex'	1	1	unknown	excision de l'urtère du pôle supérieur du rein 'duplex'	236160005	900000000000549004
'enhancer	1	1	unknown	leucémie myéloïde aigüe avec mutation somatique de la protéine 'enhancer-binding protein alpha'	764855007	900000000000548007
'fadenoperation'	2	2	unknown	'Fadenoperation' appliquée au muscle droit supérieur de l'œil	231672002	900000000000549004
'fanconi	1	1	unknown	syndrome 'Fanconi-like'	236469003	900000000000548007
'feather	1	1	unknown	'feather edge' de la crête alvéolaire	235015000	900000000000549004
'fiber	1	1	unknown	réparation extracapsulaire d'une déchirure du ligament croisé antérieur par stabilisation de la suture et implant de type 'fiber tape'	444889008	900000000000548007
'flapping'	1	1	unknown	mouvement de 'flapping' répétitif	284515004	900000000000548007
'flare	1	1	unknown	'flare reaction'	42959003	900000000000549004
'flashbacks'	1	1	unknown	'flashbacks' épisodiques	416714005	900000000000549004
'flutter'	1	1	unknown	ablation transluminale percutanée de la paroi atriale pour 'flutter' atrial	707832008	900000000000548007
'frontloading'	1	1	unknown	'frontloading'	228398000	900000000000549004
'home'	1	1	unknown	vit dans un 'home' pour personnes âgées	160737007	900000000000549004
'jagunal	1	1	unknown	neutropénie congénitale sévère autosomique récessive due à un déficit en 'jagunal homolog 1'	783199003	900000000000548007
'jet	1	1	unknown	trouble du rythme circadien dû à un 'jet-lag'	724751006	900000000000549004
'jump	1	1	unknown	greffe artérielle 'jump graft'	233386000	900000000000549004
'kelch	1	1	unknown	myopathie distale à début précoce dans le cadre d'une 'Kelch Like Family Member 9'	763776004	900000000000548007
'kieselguhr'	1	1	unknown	'kieselguhr'	33817009	900000000000549004
'kinesin	1	1	unknown	maladie de Charcot-Marie-Tooth autosomique dominante de type 2 due à une mutation du gène codant la 'kinesin family member 5A'	764730007	900000000000548007
'lazy	1	1	unknown	correction d'un ectropion médian selon la technique 'Lazy T'	231604002	900000000000548007
'leeway'	2	2	unknown	présence de l'espace 'leeway'	699359001	900000000000549004
'lichen	1	1	unknown	'lichen acid mix' dans le cadre d'un 'patch test'	256085007	900000000000549004
'light'	1	1	unknown	régime 'light'	182924003	900000000000549004
'limb	2	2	unknown	SLM - syndrome 'limb-mammary'	721972001	900000000000549004
'live'	1	1	unknown	voix en 'live'	260239008	900000000000549004
'long	1	1	unknown	atrésie œsophagienne 'long gap'	721182004	900000000000549004
'louping	1	1	unknown	encéphalite au virus 'louping ill'	1163551001	900000000000548007
'low	1	1	unknown	CT-scan thoracique 'low dose'	713548006	900000000000549004
'mal	1	1	unknown	'mal puesto' (maladie s'expliquant par la sorcellerie)	651003	900000000000548007
'masquerade	1	1	unknown	'masquerade syndrome' néoplasique	416050006	900000000000549004
'mediator	1	1	latin	syndrome de retard de développement et dysmorphie faciale par déficit en 'mediator complex subunit 13L'	787093004	900000000000548007
'microflutter'	1	1	unknown	'microflutter' oculaire	307685006	900000000000549004
'mini	1	1	unknown	évaluation par 'mini mental state examination'	446971008	900000000000548007
'moins'	1	1	unknown	état de conscience minimale 'moins'	723153008	900000000000548007
'morning	1	1	unknown	anomalie papillaire 'morning glory'	247204001	900000000000549004
'muesli	1	1	unknown	régime alimentaire 'muesli belt'	226235006	900000000000548007
'musk	1	1	unknown	'musk mix'	256032000	900000000000549004
'mycosis	1	1	latin	LyP (lymphomatoid papulosis) de type B 'mycosis fungoides-like'	404104001	900000000000549004
'natural	1	1	unknown	déficit en cellules 'natural killer'	737307003	900000000000548007
'non'	1	1	unknown	développement du langage : répond à l'injonction 'non' en arrêtant brièvement son activité	424129003	900000000000548007
'on	2	2	unknown	phénomène 'on-off'	427488005	900000000000548007
'overriding'	2	2	unknown	anomalie congénitale du septum interventriculaire avec mauvais alignement sur l'orifice postérieur et 'overriding' de la valve aortique	447671002	900000000000549004
'paraben	1	1	unknown	'paraben mix'	255844007	900000000000549004
'perfume	1	1	unknown	'perfume mix'	256050007	900000000000549004
'piercing	1	1	unknown	'piercing stud' sur la langue	840622004	900000000000549004
'piercing'	1	1	unknown	'piercing' clou de la langue	840622004	900000000000548007
'pince	1	1	unknown	réduction par manipulation de fracture ouverte de la région malaire, incluant l'arcade zygomatique et le tripode malaire, technique 'pince à champ'	8717008	900000000000548007
'pivot	1	1	unknown	réponse au test 'pivot shift'	20910001	900000000000549004
'plus'	1	1	unknown	état de conscience minimale 'plus'	723152003	900000000000548007
'post	1	1	unknown	'post-anal repair'	174346006	900000000000549004
'prick	1	1	unknown	'prick test' normal	299929009	900000000000549004
'proteus	1	1	latin	syndrome 'Proteus-like'	716862002	900000000000549004
'pseudodrusen'	1	1	unknown	'pseudodrusen' réticulés	762533006	900000000000548007
'pull	1	1	unknown	'pull-through' par voie sacro-périnéale	235373006	900000000000549004
'q	1	1	unknown	test 'Q-tip' d'angle urétrovésical	252912001	900000000000548007
'quinoline	1	1	inn	'quinoline mix'	255841004	900000000000549004
'ranger's	1	1	unknown	empoisonnement au 'ranger's buttons'	24294007	900000000000549004
